RIESGO,
1,SINIESTRALIDAD ALTA 
,"Chevrolet: Es la marca más afectada por robos en el país. Modelos como el Aveo, Sail y la camioneta D-Max lideran los reportes de sustracción y colisiones. [1, 2]"
,"Kia: Segunda marca con mayor incidencia de robos. El modelo Sportage se encuentra catalogado como vehículo de alto riesgo por las aseguradoras. [1, 2, 3]"
,"Hyundai: Ocupa el tercer lugar en robos y partes comerciales. El modelo Tucson registra altas tasas de siniestros por delincuencia y accidentes. [1, 2]"
,"Toyota: Aunque cuenta con una excelente reputación en seguridad pasiva, sus modelos Hilux y Fortuner sufren un riesgo crítico de robo a mano armada y desmantelamiento de accesorios"
,
2,SINIESTRALIDAD MODERADA
,Nissan y Suzuki: Modelos específicos como el Nissan Sentra o el Suzuki Vitara SZ entran continuamente en los listados de autos robados o colisionados. [1]
,"Mazda: Las camionetas de la serie BT-50 son altamente cotizadas por la delincuencia en zonas rurales, elevando su tasa de riesgo. [1, 2]"
,"Mitsubishi: Vehículos SUV como el Montero registran siniestros frecuentes de pérdida parcial o robo de autopartes. [1, 2]"
,"Ford y Volkswagen: Marcas cuyos vehículos familiares y camionetas (Amarok, F150) sufren siniestros moderados, controlados en parte por sus avanzados sistemas de seguridad activa."
,
3,BAJA SINIESTRALIDAD
,"Marcas Premium (Volvo, BMW, Mercedes-Benz, Audi): Tienen las tasas de siniestralidad por robo más bajas. Modelos como el Volvo XC60 destacan frecuentemente en seguridad internacional."
,"Marcas de nicho (Honda, Subaru): Vehículos con una base de usuarios reducida que limita el interés de las mafias de autopartes."
,"Firmas Chinas Nuevas o Eléctricas (BYD, Geely): Al incorporar tecnologías recientes de software cerrado y baterías complejas, su índice de robo actual es mínimo"
